VIN,ALTITUDE,BEARING,HORPOSERROR,LATITUDE,LONGITUDE,ORIGIN,RESPONSE,TIMESTAMP
0009ed13859f3e4190a5,802.50000000000000000,0,1,-19.6592559814453120000,-43.9418830871582000,SQDF,SUCCESS,2021-09-07 14:21:41.116
0009ed13859f3e4190a5,802.70001220703120000,0,1,-19.6592426300048830000,-43.9418716430664060,SQDF,SUCCESS,2021-09-07 14:21:48.820
0009ed13859f3e4190a5,807.59997558593750000,0,1,-19.6592235565185550000,-43.9418563842773440,SQDF,SUCCESS,2021-09-07 14:22:32.116
0009ed13859f3e4190a5,807.00000000000000000,0,1,-19.6592235565185550000,-43.9418640136718750,SQDF,SUCCESS,2021-09-07 14:25:44.903
0009ed13859f3e4190a5,806.40002441406250000,0,1,-19.6592311859130860000,-43.9418640136718750,SQDF,SUCCESS,2021-09-07 14:25:54.523
0009ed13859f3e4190a5,797.09997558593750000,0,1,-19.659412384033203,-43.9415588378906250,SQDF,SUCCESS,2021-09-05 00:32:42.258
0009ed13859f3e4190a5,796.50000000000000000,0,1,-19.6594295501709,-43.9415130615234400,SQDF,SUCCESS,2021-09-05 00:35:24.440
0009ed13859f3e4190a5,797.40002441406250000,0,1,-19.659425735473633,-43.9415283203125000,SQDF,SUCCESS,2021-09-05 00:37:26.088
0009ed13859f3e4190a5,797.09997558593750000,0,1,-19.659425735473633,-43.9415206909179700,SQDF,SUCCESS,2021-09-05 00:38:17.367
0009ed13859f3e4190a5,801.90002441406250000,0,1,-19.659181594848633,-43.9415664672851560,SQDF,SUCCESS,2021-09-05 00:43:10.218
0009ed13859f3e4190a5,800.40002441406250000,0,1,-19.659189224243164,-43.9415626525878900,SQDF,SUCCESS,2021-09-05 00:43:18.513
0009ed13859f3e4190a5,800.29998779296880000,0,1,-19.65918731689453,-43.9415626525878900,SQDF,SUCCESS,2021-09-05 00:43:26.160
0009ed13859f3e4190a5,789.20001220703120000,0,1,-19.659128189086914,-43.9415855407714840,SQDF,SUCCESS,2021-09-05 01:32:22.398
0009ed13859f3e4190a5,790.29998779296880000,0,1,-19.659116744995117,-43.9416732788085940,SQDF,SUCCESS,2021-09-05 01:33:31.449
0009ed13859f3e4190a5,791.59997558593750000,0,1,-19.65912437438965,-43.9416809082031250,SQDF,SUCCESS,2022-09-05 01:33:37.723
0009ed13859f3e4190a5,796.40002441406250000,0,1,-19.65912628173828,-43.9416923522949200,SQDF,SUCCESS,2022-09-05 01:38:06.838
0009ed13859f3e4190a5,798.50000000000000000,0,1,-19.659122467041016,-43.9416961669921900,SQDF,SUCCESS,2022-09-05 01:39:01.458
0009ed13859f3e4190a5,798.50000000000000000,0,1,-19.659122467041016,-43.9416961669921900,SQDF,SUCCESS,2022-09-05 01:39:15.530
0009ed13859f3e4190a5,798.59997558593750000,0,1,-19.659122467041016,-43.9416961669921900,SQDF,SUCCESS,2022-09-05 01:39:30.763
0009ed13859f3e4190a5,799.20001220703120000,0,1,-19.659135818481445,-43.9416961669921900,SQDF,SUCCESS,2022-09-05 01:40:10.766
0009ed13859f3e4190a5,799.40002441406250000,0,1,-19.659177780151367,-43.9416084289550800,SQDF,SUCCESS,2022-09-05 01:41:36.482
0009ed13859f3e4190a5,673.70001220703120000,333,1,-19.57950210571289,-43.9176216125488300,SQDF,SUCCESS,2022-09-08 12:15:43.950
0009ed13859f3e4190a5,673.20001220703120000,0,1,-19.57868194580078,-43.9182281494140600,SQDF,SUCCESS,2022-09-08 12:16:27.126
0009ed13859f3e4190a5,684.40002441406250000,0,1,-19.580114364624023,-43.9182205200195300,SQDF,SUCCESS,2022-09-08 12:18:32.519
0009ed13859f3e4190a5,681.29998779296880000,0,1,-19.580108642578125,-43.9181938171386700,SQDF,SUCCESS,2022-09-08 12:20:31.543
0009ed13859f3e4190a5,756.00000000000000000,157,1,-20.0051574707031250000,-44.1781425476074200,SQDF,SUCCESS,2022-09-09 17:49:08.477
0009ed13859f3e4190a5,792.29998779296880000,127,1,-19.6595249176025400000,-43.9400405883789060,SQDF,SUCCESS,2022-09-08 11:21:23.522
0009ed13859f3e4190a5,734.79998779296880000,0,1,-19.6041927337646500000,-43.9074478149414060,SQDF,SUCCESS,2022-09-08 11:43:53.652
0009ed13859f3e4190a5,734.59997558593750000,0,1,-19.6041927337646500000,-43.9074363708496100,SQDF,SUCCESS,2022-09-08 11:44:19.044
0009ed13859f3e4190a5,735.70001220703120000,0,1,-19.62952423095703,-43.88823699951172,SQDF,SUCCESS,2022-09-04 21:40:31.082
0009ed13859f3e4190a5,832.59997558593750000,0,2,-19.8787231445312500000,-44.000507354736330,SQDF,SUCCESS,2022-09-03 22:49:13.593
0009ed13859f3e4190a5,832.59997558593750000,0,2,-19.8787231445312500000,-44.000507354736330,SQDF,SUCCESS,2022-09-03 22:49:18.846
0009ed13859f3e4190a5,832.79998779296880000,0,2,-19.8787231445312500000,-44.000499725341800,SQDF,SUCCESS,2022-09-03 23:00:42.366
0009ed13859f3e4190a5,818.79998779296880000,0,1,-19.878976821899414,-44.0049972534179700,SQDF,SUCCESS,2022-09-04 16:24:42.480
0009ed13859f3e4190a5,844.00000000000000000,0,4,-19.87871742248535,-44.0004882812500000,SQDF,SUCCESS,2022-09-04 16:40:53.508
0009ed13859f3e4190a5,844.00000000000000000,0,4,-19.87871742248535,-44.0004882812500000,SQDF,SUCCESS,2022-09-04 16:40:59.504
0009ed13859f3e4190a5,811.40002441406250000,0,1,-19.6592483520507800000,-43.941806793212890,SQDF,SUCCESS,2022-09-07 00:23:29.807
0009ed13859f3e4190a5,883.79998779296880000,0,1,-19.9283046722412100000,-43.930976867675780,SQDF,SUCCESS,2022-09-09 20:22:45.140
0009ed13859f3e4190a5,869.40002441406250000,9,1,-19.9283618927001950000,-43.930675506591800,SQDF,SUCCESS,2022-09-09 21:00:36.167
0009ed13859f3e4190a5,792.70001220703120000,0,1,-19.6592483520507800000,-43.941864013671875,SQDF,SUCCESS,2022-09-05 18:10:19.239
0009ed13859f3e4190a5,803.09997558593750000,0,1,-19.659242630004883,-43.941818237304690,SQDF,SUCCESS,2022-09-06 21:49:37.997
0009ed13859f3e4190a5,803.20001220703120000,0,1,-19.659242630004883,-43.941818237304690,SQDF,SUCCESS,2022-09-06 21:50:09.682
0009ed13859f3e4190a5,806.59997558593750000,0,1,-19.65923500061035,-43.941806793212890,SQDF,SUCCESS,2022-09-06 21:50:25.942
0009ed13859f3e4190a5,869.70001220703120000,0,1,-19.901700973510742,-44.0124778747558600,SQDF,SUCCESS,2022-09-04 14:57:00.688
0009ed13859f3e4190a5,869.29998779296880000,0,1,-19.901702880859375,-44.0124626159668000,SQDF,SUCCESS,2022-09-04 15:01:21.949
0009ed13859f3e4190a5,837.29998779296880000,0,2,-19.878686904907227,-44.0004768371582000,SQDF,SUCCESS,2022-09-04 15:14:44.591
0009ed13859f3e4190a5,1115.00000000000000000,0,1,-19.974924087524414,-43.9457817077636700,SQDF,SUCCESS,2022-09-09 14:52:56.923
0009ed13859f3e4190a5,0.00000000000000000,0,0,-19.9301681518554700000,-43.9409713745117200,SQDF,SUCCESS,2022-09-10 11:39:28.424
0009ed13859f3e4190a5,0.00000000000000000,0,0,-19.9298801422119140000,-43.9411087036132800,SQDF,SUCCESS,2022-09-10 12:08:30.085
0009ed13859f3e4190a5,876.70001220703120000,0,4,-19.92992401123047,-43.9408340454101560,SQDF,SUCCESS,2022-09-09 21:47:31.172
0009ed13859f3e4190a5,877.29998779296880000,0,2,-19.92992401123047,-43.9408340454101560,SQDF,SUCCESS,2022-09-09 21:51:18.760
0009ed13859f3e4190a5,879.70001220703120000,0,2,-19.92991065979004,-43.9408187866210940,SQDF,SUCCESS,2022-09-09 21:55:22.568
0009ed13859f3e4190a5,865.90002441406250000,314,500,-19.930139541625977,-43.9410781860351560,SQDF,SUCCESS,2022-09-09 21:58:03.393
0009ed13859f3e4190a5,878.00000000000000000,296,4,-19.93020248413086,-43.9408760070800800,SQDF,SUCCESS,2022-09-08 15:05:39.237
0009ed13859f3e4190a5,880.50000000000000000,0,4,-19.929643630981445,-43.9409828186035160,SQDF,SUCCESS,2022-09-08 15:23:30.096
0009ed13859f3e4190a5,880.79998779296880000,0,500,-19.929643630981445,-43.9409790039062500,SQDF,SUCCESS,2022-09-08 15:24:27.229
0009ed13859f3e4190a5,789.79998779296880000,0,2,-19.65932273864746,-43.9418220520019500,SQDF,SUCCESS,2022-09-02 20:50:16.760
0009ed13859f3e4190a5,804.20001220703120000,0,500,-19.65926170349121,-43.9417724609375000,SQDF,SUCCESS,2022-09-02 20:50:28.837
0009ed13859f3e4190a5,790.90002441406250000,0,1,-19.659324645996094,-43.941879272460940,SQDF,SUCCESS,2022-09-03 21:50:14.741
0009ed13859f3e4190a5,801.00000000000000000,135,1,-19.6761932373046880000,-43.90858840942383,SQDF,SUCCESS,2022-09-03 22:00:58.523
0009ed13859f3e4190a5,0.00000000000000000,0,0,-19.929872512817383,-43.9408760070800800,SQDF,SUCCESS,2022-09-09 10:51:08.259
0009ed13859f3e4190a5,0.00000000000000000,0,0,-19.92997932434082,-43.9410362243652340,SQDF,SUCCESS,2022-09-09 10:54:31.176
0009ed13859f3e4190a5,803.40002441406250000,0,2,-19.659231185913086,-43.941829681396484,SQDF,SUCCESS,2022-09-06 15:49:17.982
0009ed13859f3e4190a5,806.70001220703120000,0,1,-19.659231185913086,-43.941864013671875,SQDF,SUCCESS,2022-09-06 16:37:24.031
0009ed13859f3e4190a5,941.50000000000000000,0,1,-19.95400047302246,-44.025279998779300,SQDF,SUCCESS,2022-09-09 17:28:10.190
0009ed13859f3e4190a5,0.00000000000000000,0,0,-19.9299736022949220000,-43.9409942626953100,SQDF,SUCCESS,2022-09-09 13:36:57.796
0009ed13859f3e4190a5,876.09997558593750000,58,1,-19.9313640594482420000,-43.9343833923339840,SQDF,SUCCESS,2022-09-09 13:47:40.836
0009ed13859f3e4190a5,876.20001220703120000,0,1,-19.9288234710693360000,-43.9310569763183600,SQDF,SUCCESS,2022-09-09 14:05:03.860
0009ed13859f3e4190a5,798.59997558593750000,0,1,-19.6592559814453120000,-43.9418678283691400,SQDF,SUCCESS,2022-09-06 15:33:42.183
0009ed13859f3e4190a5,828.29998779296880000,0,2,-19.8787193298339840000,-44.000488281250000,SQDF,SUCCESS,2022-09-04 02:34:04.660
0009ed13859f3e4190a5,868.29998779296880000,0,1,-19.928241729736328,-43.930770874023440,SQDF,SUCCESS,2022-09-09 18:52:29.390
0009ed13859f3e4190a5,681.29998779296880000,64,1,-19.57872772216797,-43.9186515808105500,SQDF,SUCCESS,2022-09-08 13:41:01.316
0009ed13859f3e4190a5,877.70001220703120000,236,5,-19.92996597290039,-43.9410324096679700,SQDF,SUCCESS,2022-09-08 15:01:29.755
0009ed13859f3e4190a5,1154.19995117187500000,313,1,-19.9858493804931640000,-43.944969177246094,SQDF,SUCCESS,2022-09-09 16:17:11.770
0009ed13859f3e4190a5,878.70001220703120000,0,2,-19.9282341003417970000,-43.930858612060550,SQDF,SUCCESS,2022-09-09 19:36:13.123
0009ed13859f3e4190a5,879.00000000000000000,0,1,-19.9283313751220700000,-43.930980682373050,SQDF,SUCCESS,2022-09-09 20:05:31.040
0009ed13859f3e4190a5,821.20001220703120000,192,1,-19.8896198272705080000,-44.007526397705080,SQDF,SUCCESS,2022-09-04 13:21:25.287
0009ed13859f3e4190a5,879.40002441406250000,0,1,-19.9018478393554700000,-44.014762878417970,SQDF,SUCCESS,2022-09-04 13:29:24.715
0009ed13859f3e4190a5,858.59997558593750000,0,1,-19.8980064392089840000,-44.005298614501950,SQDF,SUCCESS,2022-09-04 13:43:44.307
0009ed13859f3e4190a5,855.59997558593750000,14,1,-19.8967876434326170000,-44.005813598632810,SQDF,SUCCESS,2022-09-04 13:47:56.332
0009ed13859f3e4190a5,833.40002441406250000,0,1,-19.8867263793945300000,-44.005485534667970,SQDF,SUCCESS,2022-09-04 13:55:31.527
0009ed13859f3e4190a5,823.29998779296880000,0,1,-19.8747234344482420000,-43.993736267089844,SQDF,SUCCESS,2022-09-04 14:24:52.008
0009ed13859f3e4190a5,0.00000000000000000,0,0,-19.9299259185791000000,-43.941055297851560,SQDF,SUCCESS,2022-09-10 12:29:57.421
0009ed13859f3e4190a5,0.00000000000000000,0,0,-19.9299201965332030000,-43.941108703613280,SQDF,SUCCESS,2022-09-10 12:40:53.481
0009ed13859f3e4190a5,0.00000000000000000,0,0,-19.92997932434082,-43.9410362243652340,SQDF,SUCCESS,2022-09-09 13:30:46.060
0009ed13859f3e4190a5,0.00000000000000000,0,0,-19.92997932434082,-43.9410324096679700,SQDF,SUCCESS,2022-09-09 13:32:34.875
0009ed13859f3e4190a5,802.59997558593750000,0,1,-19.659208297729492,-43.941825866699220,SQDF,SUCCESS,2022-09-03 17:33:03.586
0009ed13859f3e4190a5,836.70001220703120000,0,1,-19.8788585662841800000,-44.000785827636720,SQDF,SUCCESS,2022-09-04 23:29:27.053
0009ed13859f3e4190a5,871.70001220703120000,0,1,-19.9017124176025400000,-44.012474060058594,SQDF,SUCCESS,2022-09-04 23:42:31.039
