TIMESTAMP_EVENT,VIN,Q_FUEL_CNSMN
2022-08-09 12:26:15.714,0009ed13859f3e4190a5,-2147483648
2022-08-08 07:41:25.712,0009ed13859f3e4190a5,-2147483648
2022-08-07 23:07:02.138,0009ed13859f3e4190a5,-2147483648
2022-08-07 14:11:04.619,0009ed13859f3e4190a5,-2147483648
2022-08-08 07:47:34.724,0009ed13859f3e4190a5,-2147483648
2022-08-06 10:53:19.830,0009ed13859f3e4190a5,-2147483648
2022-08-08 07:44:11.013,0009ed13859f3e4190a5,-2147483648
2022-08-08 07:27:05.910,0009ed13859f3e4190a5,-2147483648
2022-08-07 15:49:07.248,0009ed13859f3e4190a5,-2147483648
2022-08-07 14:15:08.762,0009ed13859f3e4190a5,-2147483648
2022-08-08 09:45:43.945,0009ed13859f3e4190a5,-2147483648
2022-08-08 07:45:39.022,0009ed13859f3e4190a5,-2147483648
2022-08-07 19:14:29.698,0009ed13859f3e4190a5,-2147483648
2022-08-07 12:21:42.783,0009ed13859f3e4190a5,-2147483648
2022-08-08 09:44:16.117,0009ed13859f3e4190a5,-2147483648
2022-08-07 11:12:02.295,0009ed13859f3e4190a5,-2147483648
2022-08-07 12:08:29.513,0009ed13859f3e4190a5,-2147483648
2022-08-15 15:27:41.387,0009ed13859f3e4190a5,-2147483648
2022-08-15 08:43:14.997,0009ed13859f3e4190a5,-2147483648
2022-08-15 16:03:00.925,0009ed13859f3e4190a5,-2147483648
2022-08-17 16:06:15.954,0009ed13859f3e4190a5,-2147483648
2022-08-15 22:36:14.935,0009ed13859f3e4190a5,-2147483648
2022-08-17 21:11:04.568,0009ed13859f3e4190a5,-2147483648
2022-08-19 16:58:46.175,0009ed13859f3e4190a5,-2147483648
2022-08-12 17:44:10.692,0009ed13859f3e4190a5,-2147483648
2022-08-11 12:54:55.819,0009ed13859f3e4190a5,-2147483648
2022-08-12 07:09:59.879,0009ed13859f3e4190a5,-2147483648
2022-08-17 08:58:25.684,0009ed13859f3e4190a5,-2147483648
2022-08-12 08:11:07.266,0009ed13859f3e4190a5,-2147483648
2022-08-11 22:14:02.589,0009ed13859f3e4190a5,-2147483648
2022-08-15 15:18:45.398,0009ed13859f3e4190a5,-2147483648
2022-08-12 07:40:14.625,0009ed13859f3e4190a5,-2147483648
2022-08-17 17:01:22.341,0009ed13859f3e4190a5,-2147483648
2022-08-18 16:26:28.964,0009ed13859f3e4190a5,-2147483648
2022-08-17 16:50:33.986,0009ed13859f3e4190a5,-2147483648
2022-08-18 11:58:30.712,0009ed13859f3e4190a5,-2147483648
