VIN,EVENTTIME,DATEHOUR,ODOMETERVALUE,FUELAMOUNT,AUTONOMYDISTANCE,DISTANCETOSERVICEVALUE
0009ed13859f3e4190a5,1662760052363,2022-09-09 18:47:32.363,9472,null,44,5528
0009ed13859f3e4190a5,1662760291814,2022-09-09 18:51:31.814,9472,null,43,5528
0009ed13859f3e4190a5,1662760523379,2022-09-09 18:55:23.379,9472,null,42,5528
0009ed13859f3e4190a5,1662760684953,2022-09-09 18:58:04.953,9472,null,42,5528
0009ed13859f3e4190a5,1662809969260,2022-09-10 08:39:29.260,9472,null,42,5528
0009ed13859f3e4190a5,1662811710396,2022-09-10 09:08:30.396,9472,null,42,5528
0009ed13859f3e4190a5,1662812997649,2022-09-10 09:29:57.649,9472,null,42,5528
0009ed13859f3e4190a5,1662813653684,2022-09-10 09:40:53.684,9472,null,42,5528
0009ed13859f3e4190a5,1663150555400,2022-09-14 07:15:55.400,9472,null,260,5528
0009ed13859f3e4190a5,1663157981411,2022-09-14 09:19:41.411,9572,null,163,5428
0009ed13859f3e4190a5,1663157990620,2022-09-14 09:19:50.620,9572,null,163,5428
0009ed13859f3e4190a5,1663158111075,2022-09-14 09:21:51.075,9572,null,163,5428
0009ed13859f3e4190a5,1663158664714,2022-09-14 09:31:04.714,9574,null,159,5426
0009ed13859f3e4190a5,1663158690898,2022-09-14 09:31:30.898,9574,null,159,5426
00176c4973894886ca43,1662043691552,2022-09-01 11:48:11.552,6234,36,394,5766
00176c4973894886ca43,1662043857183,2022-09-01 11:50:57.183,6234,36,390,5766
00176c4973894886ca43,1662044419238,2022-09-01 12:00:19.238,6234,35,383,5766
00176c4973894886ca43,1662044466143,2022-09-01 12:01:06.143,6234,35,383,5766
00176c4973894886ca43,1662044583947,2022-09-01 12:03:03.947,6234,35,382,5766
00176c4973894886ca43,1662049540678,2022-09-01 13:25:40.678,6241,34,366,5759
00176c4973894886ca43,1662052564093,2022-09-01 14:16:04.093,6243,34,364,5757
00176c4973894886ca43,1662054923054,2022-09-01 14:55:23.054,6245,33,349,5755
00176c4973894886ca43,1662124897391,2022-09-02 10:21:37.391,6247,33,335,5753
00176c4973894886ca43,1662124987468,2022-09-02 10:23:07.468,6247,33,335,5753
00176c4973894886ca43,1662127911502,2022-09-02 11:11:51.502,6254,32,323,5746
00176c4973894886ca43,1662128464526,2022-09-02 11:21:04.526,6254,31,315,5746
00176c4973894886ca43,1662128794118,2022-09-02 11:26:34.118,6254,31,314,5746
00176c4973894886ca43,1662130679863,2022-09-02 11:57:59.863,6262,30,299,5738
